SH600535	2013-12-16	2015-12-11
SZ002241	2013-12-16	2015-12-11
SH600196	2014-12-15	2015-12-11
SH600256	2011-07-01	2015-12-11
SH600309	2007-05-29	2015-12-11
SH600383	2014-12-15	2015-12-11
SH600406	2013-01-04	2015-12-11
SH600583	2014-12-15	2015-12-11
SH600703	2014-12-15	2015-12-11
SZ000338	2011-01-04	2015-06-12
SH601888	2014-12-15	2015-06-12
SH601117	2013-01-04	2015-06-12
SH600362	2007-05-29	2015-06-12
SZ002353	2013-12-16	2015-06-12
SZ002236	2013-12-16	2015-06-12
SZ000157	2009-07-01	2015-06-12
SH601158	2011-01-04	2015-06-12
SH601991	2013-07-01	2014-12-12
SH601699	2007-05-29	2014-12-12
SH600547	2010-01-04	2014-12-12
SH600489	2010-01-04	2014-12-12
SH600188	2007-05-29	2014-12-12
SZ000792	2007-05-29	2014-12-12
SZ000568	2007-05-29	2014-12-12
SZ000024	2013-07-01	2014-12-12
SH601958	2007-05-29	2014-06-13
SZ002142	2007-05-29	2014-06-13
SZ000983	2007-05-29	2014-06-13
SZ000937	2012-01-04	2014-06-13
SZ000629	2012-01-04	2014-06-13
SH600348	2010-07-01	2014-06-13
SH601788	2010-07-01	2013-12-13
SH600115	2011-01-04	2013-12-13
SH600029	2007-05-29	2013-12-13
SZ000425	2011-07-01	2013-12-13
SH600005	2007-05-29	2013-12-13
SH600875	2007-05-29	2013-12-13
SH601666	2007-05-29	2013-06-28
SH601558	2011-07-01	2013-06-28
SH601118	2011-07-01	2013-06-28
SZ000898	2007-05-29	2013-06-28
SZ000869	2012-07-02	2013-06-28
SH601991	2012-01-04	2012-12-31
SH601607	2011-07-01	2012-12-31
SH601168	2007-05-29	2012-12-31
SH601919	2007-05-29	2012-12-31
SH600089	2009-07-01	2012-12-31
SH601866	2008-07-01	2012-06-29
SH601727	2009-07-01	2012-06-29
SZ002399	2011-01-04	2012-06-29
SZ002202	2008-07-01	2012-06-29
SZ000825	2007-05-29	2012-06-29
SH600018	2007-05-29	2011-12-30
SH601009	2007-05-29	2011-12-30
SH600832	2007-05-29	2011-12-30
SZ000878	2007-05-29	2011-12-30
SH600663	2007-05-29	2011-06-30
SH600550	2007-05-29	2011-06-30
SH600208	2010-01-04	2011-06-30
SH600177	2007-05-29	2011-06-30
SH600009	2007-05-29	2011-06-30
SZ000783	2008-07-01	2011-06-30
SZ000728	2008-07-01	2011-06-30
SZ000709	2007-05-29	2011-06-30
SZ000024	2010-01-04	2011-06-30
